step,actic loss,critic loss,average distance,time
1320,-4.1367,2.4428,7.5475,0min10sec
1330,-4.1063,2.4312,7.5473,0min11sec
1340,-4.0749,2.4198,7.5476,0min11sec
1350,-4.0452,2.4082,7.5478,0min11sec
1360,-4.0152,2.3970,7.5471,0min11sec
1370,-3.9855,2.3860,7.5463,0min11sec
1380,-3.9571,2.3749,7.5453,0min11sec
1390,-3.9290,2.3638,7.5445,0min11sec
1400,-3.9012,2.3527,7.5439,0min11sec
1410,-3.8738,2.3416,7.5429,0min11sec
1420,-3.8459,2.3307,7.5419,0min11sec
1430,-3.8176,2.3201,7.5408,0min11sec
1440,-3.7904,2.3098,7.5399,0min11sec
1450,-3.7661,2.2996,7.5390,0min11sec
1460,-3.7405,2.2896,7.5380,0min11sec
1470,-3.7164,2.2796,7.5366,0min11sec
1480,-3.6908,2.2709,7.5354,0min11sec
1490,-3.6651,2.2621,7.5342,0min11sec
1500,-3.6396,2.2533,7.5329,0min11sec
1510,-3.6142,2.2442,7.5315,0min10sec
1520,-3.5904,2.2345,7.5299,0min10sec
1530,-3.5669,2.2252,7.5282,0min11sec
1540,-3.5443,2.2160,7.5262,0min11sec
1550,-3.5217,2.2069,7.5243,0min10sec
1560,-3.4981,2.1980,7.5222,0min11sec
1570,-3.4757,2.1894,7.5197,0min10sec
1580,-3.4511,2.1822,7.5177,0min11sec
1590,-3.4283,2.1741,7.5144,0min10sec
1600,-3.4103,2.1664,7.5111,0min10sec
1610,-3.3867,2.1590,7.5067,0min11sec
1620,-3.3642,2.1514,7.5026,0min11sec
1630,-3.3450,2.1436,7.4977,0min11sec
1640,-3.3262,2.1361,7.4922,0min11sec
1650,-3.3050,2.1286,7.4871,0min11sec
1660,-3.2923,2.1216,7.4809,0min11sec
1670,-3.2731,2.1143,7.4745,0min11sec
1680,-3.2599,2.1071,7.4676,0min11sec
1690,-3.2396,2.0993,7.4598,0min11sec
1700,-3.2185,2.0916,7.4518,0min11sec
1710,-3.2006,2.0833,7.4424,0min11sec
1720,-3.1910,2.0748,7.4319,0min11sec
1730,-3.1761,2.0655,7.4200,0min10sec
1740,-3.1605,2.0556,7.4066,0min11sec
1750,-3.1432,2.0454,7.3923,0min10sec
1760,-3.1265,2.0352,7.3775,0min11sec
1770,-3.1112,2.0252,7.3627,0min11sec
1780,-3.0942,2.0153,7.3480,0min11sec
1790,-3.0787,2.0054,7.3326,0min11sec
1800,-3.0633,1.9955,7.3172,0min10sec
1810,-3.0480,1.9857,7.3018,0min11sec
1820,-3.0320,1.9761,7.2864,0min11sec
1830,-3.0170,1.9665,7.2711,0min11sec
1840,-3.0011,1.9571,7.2559,0min11sec
1850,-2.9859,1.9475,7.2404,0min11sec
1860,-2.9725,1.9382,7.2252,0min11sec
1870,-2.9572,1.9290,7.2100,0min11sec
1880,-2.9421,1.9198,7.1948,0min11sec
1890,-2.9273,1.9107,7.1799,0min10sec
1900,-2.9144,1.9017,7.1652,0min10sec
1910,-2.9000,1.8933,7.1505,0min10sec
1920,-2.8852,1.8847,7.1361,0min11sec
1930,-2.8710,1.8761,7.1216,0min11sec
1940,-2.8575,1.8675,7.1071,0min11sec
1950,-2.8441,1.8589,7.0927,0min11sec
1960,-2.8302,1.8504,7.0785,0min11sec
1970,-2.8167,1.8419,7.0644,0min10sec
1980,-2.8031,1.8334,7.0503,0min11sec
1990,-2.7899,1.8250,7.0362,0min11sec
2000,-2.7767,1.8167,7.0221,0min10sec
2010,-2.7637,1.8084,7.0084,0min11sec
2020,-2.7513,1.8004,6.9949,0min11sec
2030,-2.7380,1.7924,6.9815,0min11sec
2040,-2.7255,1.7844,6.9681,0min11sec
2050,-2.7130,1.7765,6.9550,0min11sec
2060,-2.7002,1.7687,6.9419,0min10sec
2070,-2.6875,1.7611,6.9290,0min11sec
2080,-2.6754,1.7534,6.9160,0min11sec
2090,-2.6630,1.7458,6.9030,0min11sec
2100,-2.6510,1.7382,6.8902,0min11sec
2110,-2.6389,1.7307,6.8776,0min11sec
2120,-2.6272,1.7232,6.8650,0min11sec
2130,-2.6155,1.7159,6.8526,0min11sec
2140,-2.6039,1.7085,6.8403,0min11sec
2150,-2.5923,1.7013,6.8282,0min11sec
2160,-2.5810,1.6941,6.8160,0min11sec
2170,-2.5695,1.6870,6.8040,0min10sec
2180,-2.5584,1.6799,6.7920,0min11sec
2190,-2.5469,1.6730,6.7802,0min11sec
2200,-2.5361,1.6661,6.7686,0min11sec
2210,-2.5250,1.6592,6.7570,0min11sec
2220,-2.5142,1.6524,6.7456,0min10sec
2230,-2.5033,1.6456,6.7341,0min10sec
2240,-2.4927,1.6390,6.7229,0min10sec
2250,-2.4823,1.6324,6.7118,0min11sec
2260,-2.4716,1.6258,6.7007,0min10sec
2270,-2.4605,1.6193,6.6897,0min11sec
2280,-2.4507,1.6128,6.6787,0min11sec
2290,-2.4403,1.6064,6.6678,0min11sec
2300,-2.4301,1.6001,6.6570,0min10sec
